classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,301321,6299,MACAUBA 1,,R  SR29,"R SR29 CASA 01 , BAIRRO S RECANTO DAS MINAS GERAIS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,142342,5421,MACHADO COUTO RESIDENCE I,,R  JOSE ERNESTO MORAES,"R JOSE ERNESTO MORAES  CASA 01 , BAIRRO RES BUENA VISTA IV",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,339855,3112,MACHADO RESIDENCE,,R  FRANCISCO BARBOSA,"R FRANCISCO BARBOSA CASA01 , BAIRRO RES ANTÔNIO BARBOSA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,345328,1921,MAELSON MATTA,,R  SR36,"R SR36 CASA 01 , BAIRRO RES PAULO ESTRELA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,391503,4330,MAGALHAES E SILVA III,,R  TR4,"R TR4 CASA 01 , BAIRRO LOT TUPYNAMBÁ DOS REIS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,246186,5653,MAGALHAES FAVORITAA VI,,AV MANOEL TAVARES GONCALVES,"R BRASIL CASA 03 , BAIRRO RES LUCY PINHEIRO",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,377736,6049,MAGALHAES FAVORITA VII,,R  SR15,"R SR15 CASA 01 , BAIRRO S RECANTO DAS MINAS GERAIS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,207154,5468,MAGALHAES RIBEIRO V,,R  MALLORCA,"R MALLORCA  CASA 01 , BAIRRO S TRÊS MARIAS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,375971,7259,MAGGI BM10,,R  BM10,"R BM10 CASA 02 , BAIRRO RES BRISAS DA MATA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,370251,8648,MALEMA,,R  PADRE CLEMENTE,"R PADRE CLEMENTE S/N     APT.001 , BAIRRO S CAMPINAS",4,4,4,1,1
