classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
REVISAO_CODIGO_MULTILOTE,goiania,9177,3407,RES GOLD,BETHEL RESIDENCE,AV CENTRAL,"AV C11  APT.101 BOX 05 , BAIRRO S SUDOESTE",8,10,8,2,1
REVISAO_CODIGO_MULTILOTE,goiania,288005,3407,RES GOLD,,AV CENTRAL,"AV CENTRAL CASA01 , BAIRRO VL PEDROSO",2,10,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,140559,3783,RES GOLDEN GATE,,R  DONA SANTINHA,"R CON JOSE TRINDADE DA F.E SILVA  CASA 01 , BAIRRO JD SÃO JOSÉ",2,9,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,393418,3783,RES GOLDEN GATE,RESIDENCIAL GOLDEN GATE,R  DONA SANTINHA,"R DONA SANTINHA S/N APT101 , BAIRRO S NEGRÃO DE LIMA",7,9,7,2,1
REVISAO_CODIGO_MULTILOTE,goiania,189265,4263,RES.GOLFINHO I,,R  DO GOLFINHO,"R DO ATUM  CASA 01 , BAIRRO JD ATLÂNTICO",1,21,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,238824,4263,RES.GOLFINHO I,RESIDENCIAL PÁTIO SUIÇA,R  DO GOLFINHO,"R C234  APT300 , BAIRRO BRO NOVA SUIÇA",20,21,20,2,1
REVISAO_CODIGO_MULTILOTE,goiania,299743,3246,RES GOMES DE SOUZA I,RESIDENCIAL GUARANI,R  RB15A,"R 6 S/N APTO 101BL C , BAIRRO JD GOIÁS",125,127,125,2,1
REVISAO_CODIGO_MULTILOTE,goiania,361004,3246,RES GOMES DE SOUZA I,,R  RB15A,"R RB15A CASA 01 , BAIRRO RES RECANTO DO BOSQUE",2,127,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,42481,4042,RES GONCALVES BATISTA 52,,R  52,"R 52 LT 10 . , BAIRRO S SANTOS DUMONT",3,19,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,383634,4042,RES GONCALVES BATISTA 52,,R  52,"AV REPUBLICA DO LIBANO 2412    LOJA-02 , BAIRRO S OESTE",16,19,17,2,2
